.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Northrop Grumman Corporation Co,NOC,953650,30.04,1.51,3650000000.0,11.87,2.90,13.34,12.19,241.45,42090000000.0,0.07821509150162953,2.65,19.77,-0.0005013787916771095,-0.0017000000000000001,0.027999999999999997,-0.050199999999999995,0.21280000000000002,7.97,20.31,18.07,1.71,2.02,234.48,679367
Norfolk Southern Corporation Co,NSC,2155030,42.73,2.11,4099999999.9999995,6.18,1.60,6.90,5.62,117.06,33479999999.999996,0.05861979392155181,1.59,20.49,-0.00207810200017311,-0.015700000000000002,0.059699999999999996,-0.0782,0.4635,2.70,18.64,16.70,3.39,2.44,108.73,1823350
"NetApp, Inc.",NTAP,2999150,9.94,1.86,768000000.0,2.70,0.66,3.07,1.10,41.55,10980000000.0,0.034397426379608964,1.01,37.02,0.0,-0.024300000000000002,0.0866,-0.0603,0.8018000000000001,4.06,15.01,13.21,2.02,2.85,37.31,3109563
Northern Trust Corporation,NTRS,1150350,38.88,1.77,0.00,4.69,1.20,5.31,4.32,87.52,19820000000.0,0.06337698783910195,1.55,20.06,0.007015902712815825,-0.01,0.046900000000000004,-0.049400000000000006,0.4129,2.20,18.47,16.32,3.92,2.28,82.76,1441652
Nucor Corporation Common Stock,NUE,2994640,24.72,2.53,2150000000.0,3.93,1.13,4.19,2.48,61.51,19290000000.0,0.1356524633821572,0.62,24.38,-0.0029960053262316766,-0.016399999999999998,0.038900000000000004,-0.1103,0.35009999999999997,2.43,15.39,14.44,1.18,2.47,58.23,1913279
NVIDIA Corporation,NVDA,16113400,9.85,0.56,2130000000.0,2.88,0.62,3.35,2.57,103.45,57790000000.0,0.16313797688452492,3.00,38.18,-0.012478265316559267,-0.0516,0.0416,-0.1886,1.8522999999999998,9.93,34.07,28.86,8.33,1.41,94.20,15453747
Newell Brands Inc. Common Stock,NWL,4019820,23.52,1.64,2390000000.0,3.05,0.85,3.48,1.25,47.95,22320000000.0,0.224930511011332,1.45,37.08,-0.00021381227282457616,-0.0351,-0.036699999999999997,-0.1656,0.0733,1.99,15.17,13.30,1.70,5.22,48.03,3110690
Realty Income Corporation Commo,O,1968150,24.49,4.20,997640000.0,1.24,0.31,1.30,1.13,59.89,15970000000.0,0.02683127572016475,6.65,54.35,0.001481481481481639,0.0254,0.0366,-0.1506,0.1648,2.48,49.52,47.24,14.32,7.12,59.24,1788663
"ONEOK, Inc. Common Stock",OKE,2925860,0.90,4.38,1670000000.0,1.90,0.43,2.24,1.66,54.37,11740000000.0,-0.00017879492222416804,1.62,33.57,0.0,0.024700000000000003,0.0385,-0.06309999999999999,0.845,62.42,29.33,24.88,1.32,7.77,53.66,1367260
Omnicom Group Inc. Common Stock,OMC,1525300,9.21,2.57,2300000000.0,5.07,1.43,5.48,4.78,85.15,19880000000.0,0.0065882352941177835,2.14,17.73,-0.00023529411764700026,-0.0044,0.0016,-0.0545,0.1211,9.23,16.72,15.47,1.29,10.47,84.63,2133872
Oracle Corporation Common Stock,ORCL,13310500,12.30,1.45,14540000000.0,2.63,0.59,2.83,2.11,43.75,181750000000.0,0.1011363636363638,1.92,20.89,-0.0024999999999999467,0.0095,0.0909,-0.06,0.1741,3.58,16.79,15.61,4.84,3.16,40.49,15422353
"O'Reilly Automotive, Inc.",ORLY,975171,17.52,0,1920000000.0,12.37,3.16,14.00,10.73,267.85,23340000000.0,0.22376525048056184,1.37,23.74,-0.0012161154917421646,-0.0489,-0.0632,-0.1301,0.0271,14.55,20.59,18.20,2.72,6.58,271.92,713701
"Paychex, Inc.",PAYX,1901600,5.28,3.16,1340000000.0,2.23,0.62,2.39,2.20,60.89,21100000000.0,0.006181318681318659,3.09,26.69,0.00034340659340648116,-0.0356,-0.0067,-0.0684,0.15,11.03,26.33,24.57,6.73,7.95,59.11,2070701
"People's United Financial, Inc.",PBCT,3602510,15.85,3.81,0.00,0.96,0.23,1.09,0.92,18.59,5530000000.0,0.04269662921348294,9.29,19.49,-0.0016853932584269815,-0.037599999999999995,-0.015700000000000002,-0.11130000000000001,0.2964,1.12,18.64,16.41,4.31,12.03,18.17,2872789
PACCAR Inc.,PCAR,1914460,19.33,1.43,2430000000.0,3.59,0.92,4.12,1.48,67.68,23700000000.0,0.009016999260901715,3.09,45.63,-0.004730229120473162,-0.0023,0.0562,-0.0369,0.4019,3.50,18.81,16.39,1.39,4.97,63.94,1531612
Pacific Gas & Electric Co. Comm,PCG,2067210,35.39,2.92,5160000000.0,3.66,0.83,3.82,2.78,66.40,34030000000.0,0.009691367228269021,4.90,24.10,-0.0010436857015058143,0.0091,0.079,-0.0187,0.1883,1.90,18.31,17.54,1.93,2.48,62.10,1234882
The Priceline Group Inc.,PCLN,398377,199.64,0,4150000000.0000005,74.33,14.96,86.59,42.65,1742.68,86950000000.0,0.06653828611969792,1.40,41.46,-0.0033559125435677073,0.0148,0.1231,-0.0169,0.5403,8.90,23.79,20.42,8.13,3.17,1574.60,353154
"Patterson Companies, Inc.",PDCO,980806,14.63,2.34,424750000.0,2.30,0.48,2.40,1.82,44.89,4200000000.0,-0.03960396039603953,2.64,24.31,-0.0038253825382537077,-0.0131,0.020099999999999996,-0.121,0.215,3.04,19.26,18.46,0.75,8.85,43.43,782729
Public Service Enterprise Group,PEG,2687700,26.01,3.85,3370000000.0,2.90,0.59,2.96,1.75,44.74,22930000000.0,0.044111061352440695,20.64,25.88,-0.00022391401701737923,0.0123,0.053399999999999996,-0.0421,0.153,1.72,15.62,15.30,2.50,2.85,42.99,4408181
"Pepsico, Inc. Common Stock",PEP,3983270,7.88,2.70,12110000000.0,5.12,1.46,5.54,4.36,110.83,159460000000.0,0.05008034279592932,3.40,25.63,-0.0027673629708980796,0.008100000000000001,0.0506,-0.0091,0.1343,14.22,21.82,20.17,2.55,1.59,106.35,3031468
"Pfizer, Inc. Common Stock",PFE,24870400,9.81,3.74,19810000000.0,2.55,0.67,2.78,1.17,34.20,201950000000.0,0.11956521739130443,2.11,28.93,-0.000587544065804857,-0.008,0.034,-0.0925,0.1374,3.47,13.31,12.21,3.84,3.45,32.81,19122365
Principal Financial Group Inc C,PFG,1241930,35.55,2.88,1950000000.0,4.89,1.21,5.29,4.50,62.89,18080000000.0,-0.003989149513323742,1.62,13.98,-0.0036700175522579315,0.0002,0.0766,-0.0271,0.6537000000000001,1.76,12.84,11.89,1.45,4.18,58.42,712381
Procter & Gamble Company (The),PG,9202480,20.35,3.00,17770000000.0,3.84,0.80,4.13,5.46,90.63,229570000000.0,0.028718292546653368,3.14,16.45,0.0018996535925801528,-0.0092,0.0305,-0.0239,0.1353,4.40,23.39,21.74,3.51,4.40,87.14,5185977
Progressive Corporation (The) C,PGR,2910330,13.72,1.73,1810000000.0,2.27,0.50,2.47,1.76,39.51,22950000000.0,0.011613228982580104,2.00,22.45,-0.0037869224943195556,0.0001,0.10890000000000001,-0.0302,0.2937,2.89,17.41,16.00,0.98,1.64,35.63,2513507
Parker-Hannifin Corporation Com,PH,1066750,33.97,1.64,1600000000.0,7.47,2.15,8.36,6.48,157.93,21430000000.0,0.0381665107577176,1.98,24.81,-0.0029310882444651964,0.0182,0.1281,-0.0143,0.6227,4.72,21.53,19.21,1.91,3.40,142.55,945642
"PulteGroup, Inc. Common Stock",PHM,5516030,14.60,1.55,1030000000.0,2.23,0.45,2.68,1.75,23.07,7550000000.0,0.04603580562659837,0.58,13.59,-0.0004262574595056412,0.029900000000000003,0.1643,-0.0121,0.3515,1.61,10.65,8.87,0.97,4.17,20.41,4407819
"PerkinElmer, Inc. Common Stock",PKI,677414,19.65,0.48,405940000.0,2.83,0.67,3.18,2.13,56.39,6310000000.0,-0.02466990965948579,2.55,26.99,-0.0010423905489923557,0.0189,0.0702,-0.0161,0.267,2.93,20.30,18.07,2.99,5.62,53.69,363769
"ProLogis, Inc. Common Stock",PLD,2900840,28.21,3.28,1810000000.0,-0.27,0.32,1.26,2.27,51.12,28890000000.0,-0.714760147601476,-2.00,24.05,-0.0009225092250922939,0.0678,0.0681,-0.0053,0.2481,1.92,46.25,43.32,10.47,2.37,51.10,3089459
"PNC Financial Services Group, I",PNC,2563890,94.22,1.85,0.00,7.97,1.99,8.97,7.30,123.55,57380000000.0,0.0844808650840585,1.78,16.17,-0.00785672045281749,-0.0447,0.048600000000000004,-0.1047,0.5249,1.26,14.77,13.16,3.91,2.59,112.56,3339546
Pentair plc. Ordinary Share,PNR,1190990,23.41,2.20,919500000.0,3.47,1.02,3.83,2.86,60.92,11530000000.0,-0.004594423320659069,1.95,22.21,-0.000950570342205248,0.0414,0.0731,-0.053,0.18510000000000001,2.70,18.28,16.56,2.35,3.82,59.12,813202
Pinnacle West Capital Corporati,PNW,604460,43.15,3.14,1420000000.0,4.24,1.14,4.48,3.95,82.81,9440000000.0,-0.0487143194149563,3.35,21.47,-0.004482189195564978,0.0239,0.09,-0.0042,0.2094,1.97,20.00,18.93,2.70,3.89,77.79,656186
"PPG Industries, Inc. Common Sto",PPG,1834250,18.75,1.51,2560000000.0,6.23,1.86,6.89,3.28,103.90,27270000000.0,0.05681066263351919,1.88,32.33,-0.002835806787030992,0.0208,0.073,-0.0935,0.1832,5.64,17.02,15.39,1.84,1.23,98.85,1154365
PPL Corporation Common Stock,PPL,3216300,14.56,4.24,4050000000.0,2.16,0.52,2.32,2.79,36.95,25420000000.0,-0.0021459227467810482,7.10,13.39,-0.0005364806866953176,0.0109,0.0736,-0.0644,0.1643,2.56,17.29,16.10,3.38,3.52,34.79,2573911
"Prudential Financial, Inc. Comm",PRU,1959290,106.76,2.83,7500000000.0,10.45,2.68,11.11,9.71,108.78,45320000000.0,0.08096093823891048,1.14,10.86,-0.006336895866830616,-0.0311,0.045700000000000005,-0.0799,0.5847,0.99,10.08,9.49,0.75,2.98,100.79,2133979
Public Storage Common Stock,PSA,763208,29.11,3.58,1860000000.0,7.48,1.80,8.01,6.81,223.73,39310000000.0,-0.024087849805171757,3.60,33.24,0.0006641870350692081,0.0118,0.04019999999999999,-0.1845,0.1282,7.76,30.26,28.26,14.98,6.47,217.63,505439
Phillips 66 Common Stock,PSX,2532380,43.16,3.27,2240000000.0,4.29,1.34,6.34,2.92,78.38,40330000000.0,0.14285714285714302,-2.83,26.63,-0.0030749519538756376,-0.0064,-0.0453,-0.128,0.0571,1.81,18.15,12.28,0.57,3.84,81.58,2042898
PVH Corp. Common Stock,PVH,1242600,61.16,0.15,1080000000.0,7.39,1.55,8.13,6.79,95.68,7930000000.0,0.12042502951593859,1.99,14.93,0.0005903187721369996,0.0593,0.0199,-0.1217,0.2346,1.66,13.72,12.47,0.97,1.67,99.38,852227
"Quanta Services, Inc. Common St",PWR,1673380,22.08,0,544200000.0,1.95,0.52,2.30,1.26,36.96,5390000000.0,0.15586592178770964,0.82,28.31,-0.0022346368715083775,-0.0362,0.053899999999999997,-0.0824,0.6491,1.62,18.27,15.55,0.71,3.36,33.80,1473000
"Praxair, Inc. Common Stock",PX,1432210,17.62,2.65,3440000000.0,5.47,1.43,6.23,5.21,118.16,33970000000.0,-0.986618717069499,3.23,22.88,-0.0028435226227313537,0.0087,0.0078000000000000005,-0.0466,0.1211,6.78,20.80,19.13,3.24,3.33,118.26,1019353
"PayPal Holdings, Inc.",PYPL,6432300,12.19,0,2100000000.0,1.72,0.42,2.04,1.15,42.82,51550000000.0,0.0987224157955866,1.51,37.12,-0.0027874564459929863,-0.0031,0.038900000000000004,-0.041100000000000005,0.2556,3.53,24.82,20.93,4.79,6.05,41.09,4856260
QUALCOMM Incorporated,QCOM,12826200,21.12,3.76,8550000000.000001,4.66,1.11,4.79,3.28,57.15,81750000000.0,0.14543524416135867,1.15,16.88,-0.007430997876857748,-0.0315,-0.11380000000000001,-0.22719999999999999,0.10460000000000001,2.68,11.88,11.56,3.51,1.62,62.46,17301754
"Ryder System, Inc. Common Stock",R,634306,38.39,2.33,1810000000.0,5.23,1.35,5.96,4.90,75.36,4099999999.9999995,-0.005810200129115595,0.97,15.64,-0.003873466752743693,0.0177,0.0325,-0.10220000000000001,0.34590000000000004,2.02,14.66,12.87,0.61,3.66,74.28,499996
Reynolds American Inc Common St,RAI,7913050,15.23,3.21,6030000000.0,2.58,0.66,2.85,4.25,61.98,91220000000.0,-0.06706549118387917,2.44,15.05,0.004408060453400475,0.032,0.1308,-0.0014000000000000002,0.4746,4.17,24.79,22.45,7.24,2.23,56.57,3302801
Royal Caribbean Cruises Ltd. Co,RCL,1577540,42.51,1.97,2380000000.0,7.06,1.44,8.04,5.93,97.19,20470000000.0,0.09178152118427763,0.96,16.07,-0.006738131699846828,-0.0195,0.1056,-0.0575,0.4673,2.30,13.50,11.85,2.48,2.54,86.20,2507790
Regency Centers Corporation Com,REG,1651990,21.76,3.03,404280000.0,0.64,-0.32,1.31,1.42,67.03,7000000000.0,0.11710901184585398,9.38,47.33,0.00044984255510582827,0.0028000000000000004,-0.0302,-0.2125,0.0858,3.06,105.02,51.31,10.75,1.26,69.30,867652
"Regeneron Pharmaceuticals, Inc.",REGN,908898,42.19,0,1440000000.0,12.92,3.22,15.32,7.70,379.08,38710000000.0,0.1148797085141724,1.61,47.68,-0.0020361142367250062,-0.0317,-0.026099999999999998,-0.18960000000000002,0.1282,8.85,28.41,23.90,8.10,2.82,376.90,851473
Regions Financial Corporation C,RF,15868500,13.05,1.80,0.00,0.98,0.24,1.14,0.87,14.84,17079999999.999998,0.09071729957805896,1.70,16.21,-0.008438818565400963,-0.0452,0.053399999999999996,-0.11599999999999999,0.8167,1.09,14.46,12.43,3.21,1.86,13.45,17832123
Robert Half International Inc.,RHI,1202350,8.50,2.12,617540000.0,2.68,0.70,2.87,2.67,47.82,5870000000.0,0.054316626186796224,2.08,17.21,-0.003311989401633908,-0.0392,0.0158,-0.0989,0.3378,5.33,17.14,16.01,1.10,2.78,45.23,956047
"Red Hat, Inc. Common Stock",RHT,1871390,7.01,0,417520000.0,2.63,0.65,3.07,1.39,83.81,15140000000.0,0.10724365004703662,1.97,61.27,-0.002234242709313383,0.0161,0.0818,-0.032799999999999996,0.2425,12.12,32.38,27.74,6.27,4.11,78.72,957746
"Raymond James Financial, Inc. C",RJF,1075590,35.75,1.16,0.00,4.70,1.22,5.28,3.94,77.21,10620000000.0,0.13680997876857748,1.24,18.99,-0.007430997876857748,-0.0318,0.053200000000000004,-0.0875,0.6145,2.11,15.90,13.95,1.91,2.42,70.97,822654
Ralph Lauren Corporation Common,RL,1787950,43.92,2.52,1010000000.0,5.60,0.85,5.23,1.75,79.98,6600000000.0,-0.030671799329442417,5.15,45.93,0.0011175959269837943,0.0044,-0.1246,-0.2954,0.0623,1.83,14.34,15.36,0.95,3.41,91.76,638940
"Rockwell Automation, Inc. Commo",ROK,1057600,15.94,1.96,1190000000.0,6.28,1.56,6.86,5.81,154.11,20080000000.0,-0.04434476129445697,3.14,26.88,-0.004101249599487433,0.013000000000000001,0.1263,-0.023,0.4567,9.79,24.86,22.76,3.38,4.14,138.60,635865
"Roper Technologies, Inc. Common",ROP,532526,56.94,0.67,1300000000.0,9.08,2.23,9.99,6.43,209.32,21080000000.0,0.07491622786022023,1.55,32.19,-0.005026328386787959,-0.0113,0.087,-0.0349,0.2993,3.67,22.79,20.72,5.62,5.86,190.38,514995
"Ross Stores, Inc.",ROST,2331450,7.01,0.97,2109999999.9999998,3.15,0.78,3.45,2.83,66.41,25050000000.0,0.14960629921259838,1.83,22.58,-0.0006299212598425141,-0.037599999999999995,-0.0304,-0.08449999999999999,0.22899999999999998,9.06,20.29,18.52,1.93,2.34,65.92,2060472
"Republic Services, Inc. Common",RSG,1268630,22.66,2.04,2650000000.0,2.36,0.60,2.60,1.78,62.45,21330000000.0,-0.012288541334184444,2.55,35.33,0.0,0.0070999999999999995,0.1076,-0.0149,0.3804,2.77,26.65,24.19,2.26,4.00,56.78,830174
Raytheon Company Common Stock,RTN,1667940,34.38,2.09,3690000000.0,7.40,1.83,8.30,7.44,153.34,44540000000.0,0.11862725649672679,1.70,20.43,0.0,-0.0083,0.0401,-0.035,0.21899999999999997,4.40,20.55,18.32,1.84,2.09,146.21,1187713
Starbucks Corporation,SBUX,9829700,3.98,1.54,4950000000.0,2.13,0.55,2.45,1.95,56.75,84350000000.0,0.1107851596203624,1.75,29.68,0.00017256255392572584,0.02,0.0331,-0.057800000000000004,0.13849999999999998,14.57,27.17,23.62,3.90,1.49,56.02,5855091
SCANA Corporation Common Stock,SCG,1092670,40.06,3.75,1600000000.0,4.26,0.66,4.50,4.16,67.49,9330000000.0,0.09035409035409048,2.62,15.70,-0.0013736263736262577,-0.0325,-0.06860000000000001,-0.1454,0.0171,1.64,15.36,14.51,2.22,4.82,70.11,745245
Charles Schwab Corporation (The,SCHW,8009000,10.23,0.80,0.00,1.60,0.39,1.95,1.31,41.24,51970000000.0,0.17379134860050915,1.23,29.72,-0.00661577608142494,-0.0559,0.0171,-0.1081,0.634,3.84,24.33,19.96,7.03,2.67,38.28,9730044
Sealed Air Corporation Common S,SEE,2037340,3.15,1.49,1040000000.0,2.73,0.72,3.02,2.46,45.08,8320000000.0,0.1925856843086966,1.96,17.48,-0.0032641641408254207,-0.0461,-0.071,-0.1861,0.0236,13.61,15.81,14.24,1.22,1.45,46.29,1652480
Sherwin-Williams Company (The),SHW,668571,20.30,1.10,1980000000.0,13.82,4.42,15.29,11.99,311.06,28900000000.0,0.04582331248997895,2.11,26.06,-0.004072470739137524,0.0043,0.0971,-0.013500000000000002,0.3045,15.36,22.79,20.43,2.43,2.23,284.75,345171
Signet Jewelers Limited Common,SIG,1805700,36.46,1.79,670600000.0,7.15,1.17,7.70,7.08,68.43,4640000000.0,0.2590326340326341,1.89,9.60,-0.0014568764568764214,-0.0068000000000000005,-0.1543,-0.4205,0.09449999999999999,1.88,9.50,8.83,0.73,3.00,80.36,701613
J.M. Smucker Company (The) New,SJM,1286910,62.19,2.29,1660000000.0,7.65,1.92,7.99,5.74,136.13,14880000000.0,0.09303782598480681,3.24,22.24,-0.002506069386796095,-0.061399999999999996,-0.0369,-0.18780000000000002,0.046900000000000004,2.05,16.70,15.99,2.00,3.02,132.66,1118751
SL Green Realty Corporation Com,SLG,599097,70.63,2.88,982590000.0,1.43,0.36,1.79,2.34,108.87,10970000000.0,0.11263710941100569,1.63,46.66,-0.0011060927274402221,0.0016,0.019299999999999998,-0.096,0.1613,1.54,76.26,60.92,6.12,7.66,106.98,509862
Snap-On Incorporated Common Sto,SNA,483471,45.16,1.73,926700000.0,10.05,2.54,11.01,9.20,168.74,9580000000.0,0.18434020806716545,1.64,17.96,-0.0016426355174302687,-0.021,-0.0085,-0.091,0.1379,3.64,16.44,15.00,2.57,7.75,166.60,530715
"Scripps Networks Interactive, I",SNI,1072200,14.69,1.53,1520000000.0,5.45,1.64,5.80,5.18,78.94,9920000000.0,0.01748478176402024,1.28,14.80,-0.0018132366273798661,-0.0292,0.059699999999999996,-0.08130000000000001,0.305,5.26,14.06,13.21,2.94,5.90,72.32,819029
"Synopsys, Inc.",SNPS,1371630,22.10,0,477750000.0,3.25,0.73,3.54,1.90,71.43,10750000000.0,0.05438744042612842,2.35,37.60,-0.001261564339781418,0.0001,0.1255,-0.022400000000000003,0.5304,3.23,21.98,20.18,4.28,1.05,63.48,1102706
Southern Company (The) Common S,SO,5146120,25.00,4.51,7630000000.0,2.98,0.74,3.12,2.55,50.07,48860000000.0,0.020938192067646355,4.53,19.33,-0.0006039863096436449,-0.0154,-0.0031,-0.0977,0.06709999999999999,1.99,16.54,15.80,2.47,4.24,49.45,9535671
"Simon Property Group, Inc. Comm",SPG,1886950,13.63,4.07,4000000000.0,6.63,1.61,7.19,5.87,173.56,54270000000.0,0.19248935798005706,2.64,29.53,-0.00046649950434429766,-0.0012,-0.0512,-0.2433,0.0599,12.58,26.15,24.11,9.88,4.78,182.70,1807632
S&P Global Inc. Common Stock,SPGI,1165540,2.52,1.25,2470000000.0,6.02,1.58,6.67,7.94,130.04,33390000000.0,0.09383440080253114,1.80,16.27,-0.0010031638243691576,-0.006500000000000001,0.0554,-0.0292,0.3231,51.51,21.46,19.37,5.92,1.57,122.42,806624
"Stericycle, Inc.",SRCL,911064,32.95,0,813200000.0,4.63,1.15,4.87,2.08,82.37,6970000000.0,0.07642000726656173,2.16,39.34,-0.003996608937870905,-0.0066,0.0462,-0.3556,0.14400000000000002,2.51,17.67,16.80,1.98,6.51,78.21,350358
Sempra Energy Common Stock,SRE,922574,51.77,3.00,2940000000.0,5.11,0.84,5.66,5.46,110.00,27680000000.0,0.05865341165838234,2.31,20.23,-0.0013556258472662286,0.0044,0.0579,-0.0365,0.1886,2.14,21.62,19.52,2.72,5.42,104.43,792101
"SunTrust Banks, Inc. Common Sto",STI,3547900,45.38,1.88,0.00,3.88,0.98,4.38,3.60,57.36,27000000000.0,0.11009843237331385,3.14,15.27,-0.008384979948961035,-0.0417,0.0313,-0.10890000000000001,0.4777,1.21,14.17,12.55,3.30,3.49,53.30,3468162
State Street Corporation Common,STT,2350300,47.19,1.93,0.00,5.79,1.54,6.52,4.97,79.15,29910000000.0,0.09704157102779898,1.78,15.76,-0.007396072430502443,-0.0105,0.0163,-0.061900000000000004,0.5478000000000001,1.66,13.53,12.01,2.94,2.86,77.06,2403209
Seagate Technology PLC,STX,5153090,5.16,5.49,1710000000.0,4.49,1.07,4.57,1.71,46.93,14490000000.0,-0.030042016806722693,0.61,28.64,0.018907563025210017,0.0461,0.19649999999999998,-0.0141,1.665,9.22,10.93,10.74,1.28,7.67,41.03,7672388
"Constellation Brands, Inc. Comm",STZ,1784240,35.25,0.94,2450000000.0,7.92,2.25,8.78,7.52,161.28,33299999999.999996,0.11105272376948672,1.35,22.65,-0.00023354936649744307,0.056299999999999996,0.07769999999999999,-0.028999999999999998,0.183,4.86,21.51,19.40,4.57,2.51,158.06,1030780
"Stanley Black & Decker, Inc. Co",SWK,853218,41.73,1.75,1880000000.0,7.09,1.94,7.86,6.51,130.11,20230000000.0,0.02829761545427112,1.81,20.37,-0.001660126773317172,0.019,0.0799,-0.0316,0.27649999999999997,3.18,18.70,16.87,1.77,3.01,122.77,715424
"Skyworks Solutions, Inc.",SWKS,2433670,19.81,1.10,1370000000.0,6.22,1.49,7.11,4.73,97.35,18520000000.0,-0.009061361174037219,1.08,21.19,-0.010144784792672112,0.0287,0.1875,-0.024399999999999998,0.7534000000000001,5.13,16.10,14.08,5.73,4.59,84.33,2914721
Synchrony Financial Common Stoc,SYF,5660620,17.37,1.52,0.00,3.04,0.75,3.39,2.71,34.87,26800000000.0,0.29510191664131447,1.07,12.20,-0.009735320961362981,-0.052199999999999996,-0.0171,-0.1315,0.4215,1.89,10.87,9.75,3.81,2.28,33.63,6759719
Stryker Corporation Common Stoc,SYK,1175020,25.47,1.30,3110000000.0,6.41,1.52,7.04,4.35,130.79,48690000000.0,0.02210663198959706,2.10,30.02,-0.0021418190162931783,-0.0016,0.079,-0.0225,0.22640000000000002,5.13,20.37,18.55,4.30,4.85,121.03,774525
Symantec Corporation,SYMC,6603440,6.38,0.97,875000000.0,1.19,0.38,1.76,3.32,29.99,18810000000.0,-0.037834311806914545,1.18,9.16,-0.0016307893020222064,0.013600000000000001,0.1427,-0.0225,0.8708,4.80,25.55,17.27,5.02,3.96,26.60,4322454
Sysco Corporation Common Stock,SYY,3383410,4.58,2.55,3000000000.0,2.48,0.72,2.75,1.83,52.29,28130000000.0,0.04074572362098783,1.75,28.40,-0.0005765904285989221,-0.0040999999999999995,-0.004,-0.0874,0.1525,11.36,21.00,18.94,0.53,4.42,52.29,2709870
AT&T Inc.,T,18768700,20.06,4.83,49740000000.0,2.93,0.76,3.03,2.10,41.76,247570000000.0,0.06612184249628505,1.87,19.20,0.0,-0.0347,-0.0024,-0.0816,0.1166,2.01,13.76,13.30,1.51,6.65,40.41,19610735
Molson Coors Brewing Company Cl,TAP,1519380,53.13,1.72,851000000.0,6.33,2.01,6.77,9.26,97.59,20550000000.0,0.20711231619564074,2.92,10.33,-0.001251433934716939,-0.0206,-0.0435,-0.1481,0.0691,1.80,15.10,14.12,4.22,1.63,99.93,1092248
Teradata Corporation Common Sto,TDC,1469910,7.43,0,380000000.0,1.43,0.38,1.45,0.95,30.90,3980000000.0,-0.04176257809930939,4.36,32.04,-0.005261427162117749,-0.0148,0.0385,-0.0864,0.25730000000000003,4.09,21.29,20.99,1.71,11.05,29.31,801680
TE Connectivity Ltd. New Switze,TEL,1670990,24.86,1.99,2630000000.0,4.43,1.12,4.80,5.72,74.64,26040000000.0,0.10476190476190483,2.05,12.82,-0.0014965986394557262,-0.018000000000000002,0.0506,-0.0453,0.34380000000000005,2.96,16.54,15.27,2.09,2.36,69.76,1189472
TEGNA Inc,TGNA,1958800,10.59,2.21,1210000000.0,1.83,0.48,2.33,1.99,25.66,5510000000.0,0.07023019898556382,1.40,12.91,-0.004682013265704166,-0.0007000000000000001,0.1272,-0.0379,0.4316,2.42,14.01,11.00,1.65,1.89,22.75,1160856
Target Corporation Common Stock,TGT,7891990,19.69,4.51,7310000000.0,4.00,1.01,4.02,4.70,56.31,29680000000.0,0.1358988659602156,-20.48,11.43,0.00037181632273664,-0.0462,-0.1943,-0.3617,0.018799999999999997,2.73,13.43,13.36,0.43,3.71,66.67,4917545
Tiffany & Co. Common Stock,TIF,2076810,24.20,1.93,955100000.0,3.98,0.89,4.32,3.55,92.09,11480000000.0,0.017272824804205555,3.10,25.96,0.0,0.0007000000000000001,0.1319,-0.0528,0.617,3.85,23.27,21.33,2.90,3.72,81.41,1352205
"TJX Companies, Inc. (The) Commo",TJX,3904630,6.98,1.37,4510000000.0,3.91,0.92,4.21,3.46,78.14,49700000000.0,0.1257563799000263,1.90,22.25,-0.0006577216521967966,-0.0148,0.009399999999999999,-0.0795,0.0768,10.89,19.69,18.29,1.48,1.82,76.27,4275029
Torchmark Corporation Common St,TMK,438815,38.69,0.79,865380000.0,4.69,1.16,5.02,4.49,77.40,8980000000.0,-0.04350111709817328,2.31,16.97,-0.004336969378367694,-0.0151,0.058499999999999996,-0.0415,0.4257,1.97,16.25,15.19,2.28,4.46,72.02,493333
Thermo Fisher Scientific Inc Co,TMO,1724570,54.74,0.39,4530000000.0,9.17,2.27,10.10,5.09,156.47,59680000000.0,0.12192896709025747,1.58,30.03,-0.003649397197784343,-0.023,0.0154,-0.054400000000000004,0.0992,2.80,16.67,15.14,3.28,2.80,150.55,985987
"TripAdvisor, Inc.",TRIP,2940620,10.42,0,215000000.0,1.23,0.32,1.47,0.82,42.69,5980000000.0,0.11150568181818188,5.85,50.55,-0.0037878787878788955,-0.0291,-0.1905,-0.4218,0.024700000000000003,4.05,33.70,28.20,4.11,3.95,51.20,3849454
"T. Rowe Price Group, Inc.",TROW,2065080,20.46,3.27,1930000000.0,4.88,1.23,5.12,4.75,70.12,17040000000.0,0.032593225163677575,1.75,14.73,-0.0037005408482778668,-0.0019,-0.0088,-0.11410000000000001,0.1115,3.43,14.34,13.67,4.05,6.66,70.61,2722649
"The Travelers Companies, Inc. C",TRV,1390470,83.05,2.23,5120000000.0,9.49,2.16,9.96,10.28,121.89,33900000000.0,0.010073486912723917,4.28,11.79,-0.0036330608537692433,-0.005699999999999999,0.0338,-0.034300000000000004,0.17149999999999999,1.46,12.78,12.22,1.23,4.33,117.23,1262552
